450,450
640,540
590,570
400,400
600,590
610,610
630,610
660,570
660,720
590,640
580,650
500,540
480,360
530,520
690,640
480,570
450,420
650,650
620,600
630,740
490,520
560,620
710,720
360,390
590,530
520,630
510,600
630,630
740,760
680,690
660,700
690,750
540,560
670,520
580,720
600,560
600,560
710,640
640,650
490,590
650,680
580,710
710,730
740,700
510,560
650,760
580,660
600,640
670,700
640,670
370,460
620,470
680,650
620,620
590,690
430,540
680,740
650,650
650,680
660,700
640,680
460,680
430,480
460,600
800,720
310,530
510,550
770,700
750,670
580,630
410,390
430,400
630,680
630,630
480,550
420,430
800,650
650,500
580,690
560,540
670,760
610,740
510,610
560,530
770,690
530,430
650,740
730,790
690,640
610,510
710,680
730,590
450,570
400,410
700,620
580,660
600,670
630,690
600,640
630,700
690,740
630,560
480,500
680,630
650,680
460,410
560,560
610,760
620,650
590,640
390,440
510,530
450,440
520,690
470,410
690,620
510,540
770,710
520,570
550,600
680,580
740,700
660,690
740,640
730,680
560,630
570,530
560,540
670,520
650,710
690,700
610,740
500,650
560,700
640,650
430,490
700,570
620,670
610,640
580,640
730,570
520,530
540,580
640,610
680,720
580,490
640,630
700,650
600,630
540,510
480,540
710,700
650,780
640,570
370,410
710,700
630,660
590,580
750,800
600,690
610,550
490,800
